dealer_name,car_make,car_price
 Petrol,/img-src/_themev2-grscars-720/theme/seas-bnr.jpg, £190.00 12m Tax
 Petrol,http://images.clickdealer.co.uk/vehicles/1004/1004764/full/9874292.jpg, £190.00 12m Tax
 Diesel,http://images.clickdealer.co.uk/vehicles/1011/1011732/full/10114514.jpg, £135.00 12m Tax
 Petrol,http://images.clickdealer.co.uk/vehicles/1184/1184265/full/13464790.jpg, £30.00 12m Tax
 Diesel,/img-src/_themev2-grscars-720/theme/CarFastDecisions960x300.jpg, £535.00 12m Tax
 Diesel,/img-src/_themev2-grscars-720/theme/CarPCP960x300.jpg, £30.00 12m Tax
 Diesel,http://images.clickdealer.co.uk/vehicles/1175/1175577/344x258/13131117.jpg, £30.00 12m Tax
 Diesel,http://images.clickdealer.co.uk/vehicles/1108/1108409/full/13524441.jpg, £280.00 12m Tax
 Petrol,http://images.clickdealer.co.uk/vehicles/1189/1189768/344x258/13627595.jpg, £190.00 12m Tax
 Diesel,/img-src/_themev2-grscars-720/theme/show-bnr-1.jpg, £150.00 12m Tax
/img-src/_themev2-grscars-720/theme/show-bnr-2.jpg
http://images.clickdealer.co.uk/vehicles/1097/1097712/344x258/13957288.jpg
http://images.clickdealer.co.uk/vehicles/942/942812/full/12850679.jpg
http://images.clickdealer.co.uk/vehicles/1199/1199117/344x258/13959746.jpg
/img-src/_themev2-grscars-720/theme/show-bnr-3.jpg
http://images.clickdealer.co.uk/vehicles/1160/1160356/344x258/13936878.jpg
